kod_obce_orp;nazev_obce;okres_nuts;nazev_okres;kraj_nuts;nazev_kraj;aken;uzis_orp
2110;Kolín;CZ0214;Kolín;CZ020;Středočeský;CZ0204;2010
7103;Konice;CZ0713;Prostějov;CZ071;Olomoucký;CZ0713;7103
8112;Kopřivnice;CZ0814;Nový Jičín;CZ080;Moravskoslezský;CZ0804;8012
5208;Kostelec nad Orlicí;CZ0524;Rychnov nad Kněžnou;CZ052;Královéhradecký;CZ0524;5208
5305;Králíky;CZ0534;Ústí nad Orlicí;CZ053;Pardubický;CZ0534;5305
3206;Kralovice;CZ0325;Plzeň-sever;CZ032;Plzeňský;CZ0325;3206
2111;Kralupy nad Vltavou;CZ0216;Mělník;CZ020;Středočeský;CZ0206;2011
4104;Kraslice;CZ0413;Sokolov;CZ041;Karlovarský;CZ0413;4104
8113;Kravaře;CZ0815;Opava;CZ080;Moravskoslezský;CZ0805;8013
8114;Krnov;CZ0811;Bruntál;CZ080;Moravskoslezský;CZ0801;8014
7203;Kroměříž;CZ0721;Kroměříž;CZ072;Zlínský;CZ0721;7203
6209;Kuřim;CZ0643;Brno-venkov;CZ064;Jihomoravský;CZ0643;6409
2112;Kutná Hora;CZ0215;Kutná Hora;CZ020;Středočeský;CZ0205;2012
6210;Kyjov;CZ0645;Hodonín;CZ064;Jihomoravský;CZ0645;6410
5306;Lanškroun;CZ0534;Ústí nad Orlicí;CZ053;Pardubický;CZ0534;5306
5105;Liberec;CZ0513;Liberec;CZ051;Liberecký;CZ0513;5105
7104;Lipník nad Bečvou;CZ0714;Přerov;CZ071;Olomoucký;CZ0714;7104
4205;Litoměřice;CZ0423;Litoměřice;CZ042;Ústecký;CZ0423;4205
5307;Litomyšl;CZ0533;Svitavy;CZ053;Pardubický;CZ0533;5307
7105;Litovel;CZ0712;Olomouc;CZ071;Olomoucký;CZ0712;7105
4206;Litvínov;CZ0425;Most;CZ042;Ústecký;CZ0425;4206
4207;Louny;CZ0424;Louny;CZ042;Ústecký;CZ0424;4207
4208;Lovosice;CZ0423;Litoměřice;CZ042;Ústecký;CZ0423;4208
7204;Luhačovice;CZ0724;Zlín;CZ072;Zlínský;CZ0724;7204
2113;Lysá nad Labem;CZ0218;Nymburk;CZ020;Středočeský;CZ0208;2013
4105;Mariánské Lázně;CZ0411;Cheb;CZ041;Karlovarský;CZ0411;4105
2114;Mělník;CZ0216;Mělník;CZ020;Středočeský;CZ0206;2014
6211;Mikulov;CZ0644;Břeclav;CZ064;Jihomoravský;CZ0644;6411
3107;Milevsko;CZ0314;Písek;CZ031;Jihočeský;CZ0314;3107
2115;Mladá Boleslav;CZ0217;Mladá Boleslav;CZ020;Středočeský;CZ0207;2015
2116;Mnichovo Hradiště;CZ0217;Mladá Boleslav;CZ020;Středočeský;CZ0207;2016
7106;Mohelnice;CZ0715;Šumperk;CZ071;Olomoucký;CZ0715;7106
5308;Moravská Třebová;CZ0533;Svitavy;CZ053;Pardubický;CZ0533;5308
6106;Moravské Budějovice;CZ0634;Třebíč;CZ063;Vysočina;CZ0634;6306
6212;Moravský Krumlov;CZ0647;Znojmo;CZ064;Jihomoravský;CZ0647;6412
4209;Most;CZ0425;Most;CZ042;Ústecký;CZ0425;4209
5209;Náchod;CZ0523;Náchod;CZ052;Královéhradecký;CZ0523;5209
6107;Náměšť nad Oslavou;CZ0634;Třebíč;CZ063;Vysočina;CZ0634;6307
3207;Nepomuk;CZ0324;Plzeň-jih;CZ032;Plzeňský;CZ0324;3207
2117;Neratovice;CZ0216;Mělník;CZ020;Středočeský;CZ0206;2017
5210;Nová Paka;CZ0522;Jičín;CZ052;Královéhradecký;CZ0522;5210
6108;Nové Město na Moravě;CZ0635;Žďár nad Sázavou;CZ063;Vysočina;CZ0635;6308
5211;Nové Město nad Metují;CZ0523;Náchod;CZ052;Královéhradecký;CZ0523;5211
5106;Nový Bor;CZ0511;Česká Lípa;CZ051;Liberecký;CZ0511;5106
5212;Nový Bydžov;CZ0521;Hradec Králové;CZ052;Královéhradecký;CZ0521;5212
8115;Nový Jičín;CZ0814;Nový Jičín;CZ080;Moravskoslezský;CZ0804;8015
2118;Nymburk;CZ0218;Nymburk;CZ020;Středočeský;CZ0208;2018
3208;Nýřany;CZ0325;Plzeň-sever;CZ032;Plzeňský;CZ0325;3208
8116;Odry;CZ0814;Nový Jičín;CZ080;Moravskoslezský;CZ0804;8016
7107;Olomouc;CZ0712;Olomouc;CZ071;Olomoucký;CZ0712;7107
8117;Opava;CZ0815;Opava;CZ080;Moravskoslezský;CZ0805;8017
8118;Orlová;CZ0813;Karviná;CZ080;Moravskoslezský;CZ0803;8018
8119;Ostrava;CZ0816;Ostrava-město;CZ080;Moravskoslezský;CZ0806;8019
4106;Ostrov;CZ0412;Karlovy Vary;CZ041;Karlovarský;CZ0412;4106
7205;Otrokovice;CZ0724;Zlín;CZ072;Zlínský;CZ0724;7205
6109;Pacov;CZ0633;Pelhřimov;CZ063;Vysočina;CZ0633;6309
5309;Pardubice;CZ0532;Pardubice;CZ053;Pardubický;CZ0532;5309
6110;Pelhřimov;CZ0633;Pelhřimov;CZ063;Vysočina;CZ0633;6310
3108;Písek;CZ0314;Písek;CZ031;Jihočeský;CZ0314;3108
3209;Plzeň;CZ0323;Plzeň-město;CZ032;Plzeňský;CZ0323;3209
4210;Podbořany;CZ0424;Louny;CZ042;Ústecký;CZ0424;4210
2119;Poděbrady;CZ0218;Nymburk;CZ020;Středočeský;CZ0208;2019
6213;Pohořelice;CZ0643;Brno-venkov;CZ064;Jihomoravský;CZ0643;6413
5310;Polička;CZ0533;Svitavy;CZ053;Pardubický;CZ0533;5310
3109;Prachatice;CZ0315;Prachatice;CZ031;Jihočeský;CZ0315;3109
7108;Prostějov;CZ0713;Prostějov;CZ071;Olomoucký;CZ0713;7108
5311;Přelouč;CZ0532;Pardubice;CZ053;Pardubický;CZ0532;5311
7109;Přerov;CZ0714;Přerov;CZ071;Olomoucký;CZ0714;7109
3210;Přeštice;CZ0324;Plzeň-jih;CZ032;Plzeňský;CZ0324;3210
2120;Příbram;CZ021B;Příbram;CZ020;Středočeský;CZ020B;2020
2121;Rakovník;CZ021C;Rakovník;CZ020;Středočeský;CZ020C;2021
3211;Rokycany;CZ0326;Rokycany;CZ032;Plzeňský;CZ0326;3211
6214;Rosice;CZ0643;Brno-venkov;CZ064;Jihomoravský;CZ0643;6414
4211;Roudnice nad Labem;CZ0423;Litoměřice;CZ042;Ústecký;CZ0423;4211
7206;Rožnov pod Radhoštěm;CZ0723;Vsetín;CZ072;Zlínský;CZ0723;7206
4212;Rumburk;CZ0421;Děčín;CZ042;Ústecký;CZ0421;4212
5213;Rychnov nad Kněžnou;CZ0524;Rychnov nad Kněžnou;CZ052;Královéhradecký;CZ0524;5213
8120;Rýmařov;CZ0811;Bruntál;CZ080;Moravskoslezský;CZ0801;8020
2122;Říčany;CZ0219;Praha-východ;CZ020;Středočeský;CZ0209;2022
2123;Sedlčany;CZ021B;Příbram;CZ020;Středočeský;CZ020B;2023
5107;Semily;CZ0514;Semily;CZ051;Liberecký;CZ0514;5107
2124;Slaný;CZ0213;Kladno;CZ020;Středočeský;CZ0203;2024
6215;Slavkov u Brna;CZ0646;Vyškov;CZ064;Jihomoravský;CZ0646;6415
3110;Soběslav;CZ0317;Tábor;CZ031;Jihočeský;CZ0317;3110
4107;Sokolov;CZ0413;Sokolov;CZ041;Karlovarský;CZ0413;4107
3212;Stod;CZ0324;Plzeň-jih;CZ032;Plzeňský;CZ0324;3212
3111;Strakonice;CZ0316;Strakonice;CZ031;Jihočeský;CZ0316;3111
3213;Stříbro;CZ0327;Tachov;CZ032;Plzeňský;CZ0327;3213
3214;Sušice;CZ0322;Klatovy;CZ032;Plzeňský;CZ0322;3214
6111;Světlá nad Sázavou;CZ0631;Havlíčkův Brod;CZ063;Vysočina;CZ0631;6311
5312;Svitavy;CZ0533;Svitavy;CZ053;Pardubický;CZ0533;5312
6216;Šlapanice;CZ0643;Brno-venkov;CZ064;Jihomoravský;CZ0643;6416
7110;Šternberk;CZ0712;Olomouc;CZ071;Olomoucký;CZ0712;7110
7111;Šumperk;CZ0715;Šumperk;CZ071;Olomoucký;CZ0715;7111
3112;Tábor;CZ0317;Tábor;CZ031;Jihočeský;CZ0317;3112
3215;Tachov;CZ0327;Tachov;CZ032;Plzeňský;CZ0327;3215
5108;Tanvald;CZ0512;Jablonec nad Nisou;CZ051;Liberecký;CZ0512;5108
6112;Telč;CZ0632;Jihlava;CZ063;Vysočina;CZ0632;6312
4213;Teplice;CZ0426;Teplice;CZ042;Ústecký;CZ0426;4213
6217;Tišnov;CZ0643;Brno-venkov;CZ064;Jihomoravský;CZ0643;6417
3113;Trhové Sviny;CZ0311;České Budějovice;CZ031;Jihočeský;CZ0311;3113
5214;Trutnov;CZ0525;Trutnov;CZ052;Královéhradecký;CZ0525;5214
6113;Třebíč;CZ0634;Třebíč;CZ063;Vysočina;CZ0634;6313
3114;Třeboň;CZ0313;Jindřichův Hradec;CZ031;Jihočeský;CZ0313;3114
8121;Třinec;CZ0812;Frýdek-Místek;CZ080;Moravskoslezský;CZ0802;8021
5109;Turnov;CZ0514;Semily;CZ051;Liberecký;CZ0514;5109
3115;Týn nad Vltavou;CZ0311;České Budějovice;CZ031;Jihočeský;CZ0311;3115
7207;Uherské Hradiště;CZ0722;"Uherské
Hradiště";CZ072;Zlínský;CZ0722;7207
7208;Uherský Brod;CZ0722;"Uherské
Hradiště";CZ072;Zlínský;CZ0722;7208
7112;Uničov;CZ0712;Olomouc;CZ071;Olomoucký;CZ0712;7112
4214;Ústí nad Labem;CZ0427;Ústí nad Labem;CZ042;Ústecký;CZ0427;4214
5313;Ústí nad Orlicí;CZ0534;Ústí nad Orlicí;CZ053;Pardubický;CZ0534;5313
7209;Valašské Klobouky;CZ0724;Zlín;CZ072;Zlínský;CZ0724;7209
7210;Valašské Meziříčí;CZ0723;Vsetín;CZ072;Zlínský;CZ0723;7210
4215;Varnsdorf;CZ0421;Děčín;CZ042;Ústecký;CZ0421;4215
6114;Velké Meziříčí;CZ0635;Ž~ár nad Sázavou;CZ063;Vysočina;CZ0635;6314
6218;Veselí nad Moravou;CZ0645;Hodonín;CZ064;Jihomoravský;CZ0645;6418
3116;Vimperk;CZ0315;Prachatice;CZ031;Jihočeský;CZ0315;3116
8122;Vítkov;CZ0815;Opava;CZ080;Moravskoslezský;CZ0805;8022
7211;Vizovice;CZ0724;Zlín;CZ072;Zlínský;CZ0724;7211
2125;Vlašim;CZ0211;Benešov;CZ020;Středočeský;CZ0201;2025
3117;Vodňany;CZ0316;Strakonice;CZ031;Jihočeský;CZ0316;3117
2126;Votice;CZ0211;Benešov;CZ020;Středočeský;CZ0201;2026
5215;Vrchlabí;CZ0525;Trutnov;CZ052;Královéhradecký;CZ0525;5215
7212;Vsetín;CZ0723;Vsetín;CZ072;Zlínský;CZ0723;7212
5314;Vysoké Mýto;CZ0534;Ústí nad Orlicí;CZ053;Pardubický;CZ0534;5314
6219;Vyškov;CZ0646;Vyškov;CZ064;Jihomoravský;CZ0646;6419
7113;Zábřeh;CZ0715;Šumperk;CZ071;Olomoucký;CZ0715;7113
7213;Zlín;CZ0724;Zlín;CZ072;Zlínský;CZ0724;7213
6220;Znojmo;CZ0647;Znojmo;CZ064;Jihomoravský;CZ0647;6420
5315;Žamberk;CZ0534;Ústí nad Orlicí;CZ053;Pardubický;CZ0534;5315
4216;Žatec;CZ0424;Louny;CZ042;Ústecký;CZ0424;4216
6115;Žďár nad Sázavou;CZ0635;Ž~ár nad Sázavou;CZ063;Vysočina;CZ0635;6315
5110;Železný Brod;CZ0512;Jablonec nad Nisou;CZ051;Liberecký;CZ0512;5110
6221;Židlochovice;CZ0643;Brno-venkov;CZ064;Jihomoravský;CZ0643;6421
