KOD;NAZEV;VUSC_KOD;NUTS_LAU;PLATI_OD;PLATI_DO;DATUM_VZNIKU
3608;Semily;78;CZ0514;24.02.2021 00:00:00;;11.04.1960 00:00:00
3409;Sokolov;51;CZ0413;02.01.2021 00:00:00;;11.04.1960 00:00:00
3307;Strakonice;35;CZ0316;02.01.2021 00:00:00;;11.04.1960 00:00:00
3609;Svitavy;94;CZ0533;02.01.2021 00:00:00;;11.04.1960 00:00:00
3410;Tachov;43;CZ0327;02.01.2021 00:00:00;;11.04.1960 00:00:00
3509;Teplice;60;CZ0426;02.01.2021 00:00:00;;11.04.1960 00:00:00
3610;Trutnov;86;CZ0525;02.01.2021 00:00:00;;11.04.1960 00:00:00
3308;Tábor;35;CZ0317;02.01.2021 00:00:00;;11.04.1960 00:00:00
3710;Třebíč;108;CZ0634;02.01.2021 00:00:00;;11.04.1960 00:00:00
3711;Uherské Hradiště;141;CZ0722;02.01.2021 00:00:00;;11.04.1960 00:00:00
3810;Vsetín;141;CZ0723;15.01.2021 00:00:00;;11.04.1960 00:00:00
3712;Vyškov;116;CZ0646;02.01.2021 00:00:00;;11.04.1960 00:00:00
3705;Zlín;141;CZ0724;15.01.2021 00:00:00;;11.04.1960 00:00:00
3713;Znojmo;116;CZ0647;02.01.2021 00:00:00;;11.04.1960 00:00:00
3809;Šumperk;124;CZ0715;02.01.2021 00:00:00;;11.04.1960 00:00:00
3714;Žďár nad Sázavou;108;CZ0635;02.01.2021 00:00:00;;11.04.1960 00:00:00
3501;Česká Lípa;78;CZ0511;02.01.2021 00:00:00;;11.04.1960 00:00:00
3301;České Budějovice;35;CZ0311;02.01.2021 00:00:00;;11.04.1960 00:00:00
3302;Český Krumlov;35;CZ0312;02.01.2021 00:00:00;;11.04.1960 00:00:00
3510;Ústí nad Labem;60;CZ0427;02.01.2021 00:00:00;;11.04.1960 00:00:00
3611;Ústí nad Orlicí;94;CZ0534;02.01.2021 00:00:00;;11.04.1960 00:00:00
