kod_obce_orp;nazev_obce;okres_nuts;nazev_okres;kraj_nuts;nazev_kraj;aken;uzis_orp;ruian_kod
4205;Litoměřice;CZ0423;Litoměřice;CZ042;Ústecký;CZ0423;4205;825
4206;Litvínov;CZ0425;Most;CZ042;Ústecký;CZ0425;4206;884
4207;Louny;CZ0424;Louny;CZ042;Ústecký;CZ0424;4207;850
4208;Lovosice;CZ0423;Litoměřice;CZ042;Ústecký;CZ0423;4208;833
4209;Most;CZ0425;Most;CZ042;Ústecký;CZ0425;4209;892
4210;Podbořany;CZ0424;Louny;CZ042;Ústecký;CZ0424;4210;868
4211;Roudnice nad Labem;CZ0423;Litoměřice;CZ042;Ústecký;CZ0423;4211;841
4212;Rumburk;CZ0421;Děčín;CZ042;Ústecký;CZ0421;4212;736
4213;Teplice;CZ0426;Teplice;CZ042;Ústecký;CZ0426;4213;914
4214;Ústí nad Labem;CZ0427;Ústí nad Labem;CZ042;Ústecký;CZ0427;4214;922
4215;Varnsdorf;CZ0421;Děčín;CZ042;Ústecký;CZ0421;4215;744
4216;Žatec;CZ0424;Louny;CZ042;Ústecký;CZ0424;4216;876
5101;Česká Lípa;CZ0511;Česká Lípa;CZ051;Liberecký;CZ0511;5101;710
5102;Frýdlant;CZ0513;Liberec;CZ051;Liberecký;CZ0513;5102;809
5103;Jablonec nad Nisou;CZ0512;Jablonec nad Nisou;CZ051;Liberecký;CZ0512;5103;779
5104;Jilemnice;CZ0514;Semily;CZ051;Liberecký;CZ0514;5104;1139
5105;Liberec;CZ0513;Liberec;CZ051;Liberecký;CZ0513;5105;817
5106;Nový Bor;CZ0511;Česká Lípa;CZ051;Liberecký;CZ0511;5106;701
5107;Semily;CZ0514;Semily;CZ051;Liberecký;CZ0514;5107;1147
5108;Tanvald;CZ0512;Jablonec nad Nisou;CZ051;Liberecký;CZ0512;5108;787
5109;Turnov;CZ0514;Semily;CZ051;Liberecký;CZ0514;5109;1155
5110;Železný Brod;CZ0512;Jablonec nad Nisou;CZ051;Liberecký;CZ0512;5110;795
5201;Broumov;CZ0523;Náchod;CZ052;Královéhradecký;CZ0523;5201;1031
